,vocab-size-1000,vocab-size-2000,vocab-size-3000,vocab-size-4000
fold-1,9.867042029406816,9.73240104652764,9.594700041310302,9.458529047262045
fold-2,9.86687311201178,9.731772849401157,9.595154606311764,9.46005434370114
fold-3,9.865553159271325,9.730953364230105,9.593294482937946,9.457165144771256
fold-4,9.86999556803073,9.738513812970897,9.605554734820505,9.472595656670114
fold-5,9.86725058163405,9.731916123047915,9.595061052567553,9.459726593981419
all-average,9.86734289007094,9.733111439235541,9.596752983589614,9.461614157277193
